comparison,p_value,log2fc,cliffs_delta,median_group1,median_group2,miRNA,omnibus_p,q_value,is_significant,significance_level
S vs G,3.7227240502811564e-4,0.5233333299999997,-0.48842592592592593,0.020277777777778356,0.5436111077777781,mir146a,1.2504538480147556e-10,4.78635949321863e-4,FALSE,***
S vs P,2.744497416404531e-10,1.075000004999998,-0.8657407407407407,0.020277777777778356,1.0952777827777762,mir146a,1.2504538480147556e-10,9.880190699056312e-10,TRUE,***
G vs P,6.536768277881306e-5,0.5516666749999981,-0.5478395061728395,0.5436111077777781,1.0952777827777762,mir146a,1.2504538480147556e-10,1.069652990926032e-4,FALSE,***
S vs G,1.1996600937369602e-4,0.49999999500000303,-0.5277777777777778,0.0861111111111098,0.5861111061111128,mir146b,4.122814807422163e-10,1.79949014060544e-4,FALSE,***
S vs P,8.652796202414934e-10,0.8883333300000016,-0.8410493827160493,0.0861111111111098,0.9744444411111114,mir146b,4.122814807422163e-10,2.5958388607244802e-9,FALSE,***
G vs P,4.0559575950837196e-4,0.38833333499999856,-0.4853395061728395,0.5861111061111128,0.9744444411111114,mir146b,4.122814807422163e-10,4.8671491141004635e-4,FALSE,***
S vs G,1.974346482197594e-4,0.37666666999999876,-0.5108024691358025,0.0949999999999981,0.47166666999999685,mir155,8.25963622825416e-13,2.7337105138120534e-4,FALSE,***
S vs P,4.4913739135965086e-12,1.2716666650000013,-0.9490740740740741,0.0949999999999981,1.3666666649999994,mir155,8.25963622825416e-13,4.0422365222368576e-11,TRUE,***
G vs P,2.8754876218860648e-6,0.8949999950000026,-0.6419753086419753,0.47166666999999685,1.3666666649999994,mir155,8.25963622825416e-13,5.1758777193949164e-6,FALSE,***
S vs G,0.010739824973525137,0.2833333299999978,-0.35030864197530864,-0.045000000000000505,0.2383333299999973,mir203,5.329228226908123e-13,0.011371579383732499,FALSE,*
S vs P,4.610501281626228e-13,1.5900000000000019,-0.9922839506172839,-0.045000000000000505,1.5450000000000013,mir203,5.329228226908123e-13,8.29890230692721e-12,TRUE,***
G vs P,4.6583694408596715e-7,1.306666670000004,-0.691358024691358,0.2383333299999973,1.5450000000000013,mir203,5.329228226908123e-13,1.1978664276496299e-6,TRUE,***
S vs G,0.02574829725781908,0.10500000000000051,-0.30632716049382713,0.0602777777777768,0.1652777777777773,mir223,1.8037520112313103e-11,0.02574829725781908,FALSE,*
S vs P,1.70450480145134e-11,1.6116666650000016,-0.9228395061728395,0.0602777777777768,1.6719444427777783,mir223,1.8037520112313103e-11,1.022702880870804e-10,TRUE,***
G vs P,1.2445140254219137e-6,1.506666665000001,-0.6651234567901234,0.1652777777777773,1.6719444427777783,mir223,1.8037520112313103e-11,2.8001565571993057e-6,TRUE,***
S vs G,9.283725640517003e-4,0.2599999999999945,-0.45447530864197533,0.02555555555555977,0.2855555555555543,mir381p,1.5800160038234564e-11,0.0010444191345581628,FALSE,**
S vs P,9.075257314460441e-11,1.889999999999997,-0.8888888888888888,0.02555555555555977,1.9155555555555568,mir381p,1.5800160038234564e-11,4.0838657915071985e-10,TRUE,***
G vs P,2.8749600826837943e-6,1.6300000000000026,-0.6419753086419753,0.2855555555555543,1.9155555555555568,mir381p,1.5800160038234564e-11,5.1758777193949164e-6,TRUE,***
