,count,mean,std,min,25%,50%,75%,max
AGE,108.0,25.676,5.258,20.0,22.0,24.0,28.0,49.0
plaque_index,108.0,1.085,0.696,0.05,0.46,0.93,1.602,2.7
gingival_index,108.0,1.128,0.6,0.1,0.692,1.075,1.585,2.76
pocket_depth,108.0,2.702,0.978,1.63,1.98,2.23,3.5,4.8
bleeding_on_probing,108.0,31.714,27.895,0.0,8.728,20.5,50.44,100.0
number_of_missing_teeth,108.0,0.648,1.062,0.0,0.0,0.0,1.0,4.0
mean_mir146a,108.0,34.422,3.162,29.423,30.823,36.527,36.844,38.58
mean_mir146b,108.0,34.489,3.121,29.583,30.838,36.54,36.88,38.4
mean_mir155,108.0,34.43,3.173,29.697,30.644,36.572,36.872,38.827
mean_mir203,108.0,34.83,3.402,29.63,30.895,37.255,37.568,39.013
mean_mir223,108.0,34.782,3.463,29.24,30.742,37.168,37.608,38.933
mean_mir381p,108.0,34.82,3.404,29.107,30.792,37.183,37.59,38.657
mean_GAPDH,108.0,34.595,2.588,30.477,31.499,36.472,36.771,37.73
dCt_mir146a,108.0,-0.173,0.792,-2.457,-0.567,-0.125,0.333,1.17
dCt_mir146b,108.0,-0.106,0.782,-1.963,-0.483,-0.103,0.35,1.43
dCt_mir155,108.0,-0.165,0.743,-1.877,-0.727,-0.115,0.332,1.46
dCt_mir203,108.0,0.234,0.945,-2.21,-0.499,0.562,0.97,1.53
dCt_mir223,108.0,0.187,1.047,-2.327,-0.597,0.597,0.982,1.69
dCt_mir381p,108.0,0.225,0.986,-2.233,-0.553,0.617,0.914,1.64
ddCt_mir146a,108.0,-0.608,0.792,-2.892,-1.003,-0.56,-0.103,0.735
ddCt_mir146b,108.0,-0.597,0.782,-2.454,-0.974,-0.594,-0.141,0.939
ddCt_mir155,108.0,-0.61,0.743,-2.322,-1.172,-0.56,-0.113,1.015
ddCt_mir203,108.0,-0.701,0.945,-3.145,-1.434,-0.373,0.035,0.595
ddCt_mir223,108.0,-0.743,1.047,-3.257,-1.527,-0.334,0.052,0.76
ddCt_mir381p,108.0,-0.731,0.986,-3.189,-1.509,-0.339,-0.041,0.684
RQ_mir146a,108.0,1.784,1.124,0.601,1.074,1.475,2.004,7.423
RQ_mir146b,108.0,1.756,1.039,0.522,1.103,1.51,1.965,5.481
RQ_mir155,108.0,1.74,0.924,0.495,1.081,1.474,2.257,4.999
RQ_mir203,108.0,2.067,1.664,0.662,0.976,1.295,2.703,8.846
RQ_mir223,108.0,2.252,2.003,0.591,0.964,1.26,2.883,9.56
RQ_mir381p,108.0,2.141,1.727,0.622,1.029,1.265,2.846,9.119
