,,correlation,p_value,method,q_value,significant_fdr
mir381p,PPD,0.5424191963986821,1.3313090381905752e-09,Spearman,1.5879469551936046e-09,True
mir381p,CAL,0.6366537968149111,1.3042144469525407e-13,Spearman,2.968569516798575e-13,True
mir381p,BoP,0.6632477826436022,5.245417454086246e-15,Spearman,2.360437854338811e-14,True
mir155,PPD,0.578001708161044,5.751942711038856e-11,Spearman,7.964228369130724e-11,True
mir155,CAL,0.6456704737831562,4.5452433260999965e-14,Spearman,1.363572997829999e-13,True
mir155,BoP,0.7058966459419496,1.4439564089274514e-17,Spearman,1.2995607680347064e-16,True
mir146b,PPD,0.515875047294787,1.1044755203166344e-08,Spearman,1.169444668570554e-08,True
mir146b,CAL,0.6337498458967395,1.818038391056569e-13,Spearman,3.636076782113138e-13,True
mir146b,BoP,0.6663816319379171,3.5150816899709818e-15,Spearman,2.109049013982589e-14,True
mir203,PPD,0.6365533399607642,1.3193642296882554e-13,Spearman,2.968569516798575e-13,True
mir203,CAL,0.6573487210037621,1.1001262768172438e-14,Spearman,3.960454596542078e-14,True
mir203,BoP,0.7082836119639457,1.0063517433280222e-17,Spearman,1.2995607680347064e-16,True
mir146a,PPD,0.49909922944912166,3.841838619936223e-08,Spearman,3.841838619936223e-08,True
mir146a,CAL,0.582529452635963,3.7518881226457867e-11,Spearman,5.62783218396868e-11,True
mir146a,BoP,0.626212391110489,4.2367017249049583e-13,Spearman,6.932784640753568e-13,True
mir223,PPD,0.5417153350697682,1.4115084046165373e-09,Spearman,1.5879469551936046e-09,True
mir223,CAL,0.5673222362796569,1.536185289517387e-10,Spearman,1.9750953722366404e-10,True
mir223,BoP,0.6290572695096781,3.0868939262178393e-13,Spearman,5.556409067192111e-13,True
