Variable,Comparison,Test_Type,P_Value,Effect_Size,Group1_Mean,Group2_Mean,Group1_N,Group2_N,Q_Value,Significant,Log2FC
RQ_mir146a,S vs G,Mann-Whitney U,3.7227240502811564e-4,0.8525006272254675,1.0778890183210441,1.726777906388761,36,36,4.724995909972237e-4,TRUE,-0.6798738962981312
RQ_mir146a,S vs P,Mann-Whitney U,2.744497416404531e-10,1.5619252764418452,1.0778890183210441,2.5484815022277334,36,36,6.966801133949963e-10,TRUE,-1.2414292388181214
RQ_mir146a,G vs P,Mann-Whitney U,6.536768277881306e-5,0.7263530734430733,1.726777906388761,2.5484815022277334,36,36,9.378841442177526e-5,TRUE,-0.5615553425199902
RQ_mir146b,S vs G,Mann-Whitney U,1.1996600937369602e-4,0.9373855198668524,1.0797989033967612,1.7351071827168538,36,36,1.6495326288883203e-4,TRUE,-0.6842621283542074
RQ_mir146b,S vs P,Mann-Whitney U,8.652796202414934e-10,1.5655907118854873,1.0797989033967612,2.4523900914332324,36,36,2.03958767628352e-9,TRUE,-1.1834258239937074
RQ_mir146b,G vs P,Mann-Whitney U,4.0559575950837196e-4,0.6933002955126699,1.7351071827168538,2.4523900914332324,36,36,4.780235737062955e-4,TRUE,-0.49916369563949986
RQ_mir155,S vs G,Mann-Whitney U,1.974346482197594e-4,0.924288376154462,1.0575588776660316,1.6271984499084364,36,36,2.6061373565008244e-4,TRUE,-0.6216522249754219
RQ_mir155,S vs P,Mann-Whitney U,4.4913739135965086e-12,2.2862097026206016,1.0575588776660316,2.5354903133071063,36,36,1.85269173935856e-11,TRUE,-1.2615267776806007
RQ_mir155,G vs P,Mann-Whitney U,2.8754876218860648e-6,1.1110680141235727,1.6271984499084364,2.5354903133071063,36,36,4.629936861730445e-6,TRUE,-0.6398745527051789
RQ_mir203,S vs G,Mann-Whitney U,0.010739824973525137,0.6815381991792248,1.0259855874534751,1.8212485265204894,36,36,0.011432716907300952,TRUE,-0.8279173402700535
RQ_mir203,S vs P,Mann-Whitney U,4.610501281626228e-13,1.9258576214165206,1.0259855874534751,3.35253048873427,36,36,2.5357757048944255e-12,TRUE,-1.7082399876027856
RQ_mir203,G vs P,Mann-Whitney U,9.201694024348423e-8,0.9212084313160016,1.8212485265204894,3.35253048873427,36,36,1.897849392521862e-7,TRUE,-0.880322647332732
RQ_mir223,S vs G,Mann-Whitney U,0.02574829725781908,0.6547026095848639,1.0334558212043101,1.845658189581308,36,36,0.026552931547125926,TRUE,-0.8366586780020916
RQ_mir223,S vs P,Mann-Whitney U,1.70450480145134e-11,1.8268622043191365,1.0334558212043101,3.8776974894282272,36,36,5.624865844789422e-11,TRUE,-1.907723542076893
RQ_mir223,G vs P,Mann-Whitney U,3.2489310089499377e-7,1.0302988227227432,1.845658189581308,3.8776974894282272,36,36,6.306748429138114e-7,TRUE,-1.0710648640748017
RQ_mir381p,S vs G,Mann-Whitney U,9.283725640517003e-4,0.7033487271737529,1.026295754071189,1.8211297140204643,36,36,0.0010212098204568703,TRUE,-0.8273871438212931
RQ_mir381p,S vs P,t-test,2.2529832265124515e-10,2.044475791853092,1.026295754071189,3.576720398362366,36,36,6.195703872909242e-10,TRUE,-1.8011908021553205
RQ_mir381p,G vs P,Mann-Whitney U,2.8749600826837943e-6,1.0534404661384984,1.8211297140204643,3.576720398362366,36,36,4.629936861730445e-6,TRUE,-0.9738036583340274
plaque_index,S vs G,t-test,5.067522042038863e-8,1.5186909908819353,0.44055555555555553,1.075,36,36,1.11485484924855e-7,TRUE,-1.2869407953277943
plaque_index,S vs P,t-test,1.3584711550914811e-18,3.2443878395969428,0.44055555555555553,1.7394444444444443,36,36,2.241477405900944e-17,TRUE,-1.9812307374346916
plaque_index,G vs P,t-test,1.0221415942571535e-6,1.2630599130811921,1.075,1.7394444444444443,36,36,1.8739262561381148e-6,TRUE,-0.6942899421068973
gingival_index,S vs G,Mann-Whitney U,5.2457489725525945e-12,2.1435672677060316,0.5005555555555555,1.2116666666666667,36,36,1.9234412899359512e-11,TRUE,-1.275390758827212
gingival_index,S vs P,t-test,2.8820316863365352e-21,3.5189761759128233,0.5005555555555555,1.6722222222222223,36,36,9.510704564910566e-20,TRUE,-1.740164475833526
gingival_index,G vs P,Mann-Whitney U,2.9463234574648287e-6,1.1364730384569195,1.2116666666666667,1.6722222222222223,36,36,4.629936861730445e-6,TRUE,-0.4647737170063139
pocket_depth,S vs G,Mann-Whitney U,3.9540830517647625e-4,0.874042157985894,1.9772222222222222,2.2111111111111112,36,36,4.780235737062955e-4,TRUE,-0.16129649792122588
pocket_depth,S vs P,Mann-Whitney U,3.538854022376755e-13,3.838811471227611,1.9772222222222222,3.9188888888888886,36,36,2.3356436547686583e-12,TRUE,-0.9869696429164662
pocket_depth,G vs P,Mann-Whitney U,2.2403439744762646e-12,3.201263471838103,2.2111111111111112,3.9188888888888886,36,36,1.0561621593959534e-11,TRUE,-0.8256731449952404
bleeding_on_probing,S vs G,Mann-Whitney U,3.0041827547775296e-13,1.9530023647965193,5.781944444444444,25.012222222222224,36,36,2.3356436547686583e-12,TRUE,-2.1130065881849367
bleeding_on_probing,S vs P,Mann-Whitney U,3.0094228010667744e-13,4.357982413161434,5.781944444444444,64.34694444444445,36,36,2.3356436547686583e-12,TRUE,-3.476244990858314
bleeding_on_probing,G vs P,Mann-Whitney U,7.811757566144168e-11,2.402120144392498,25.012222222222224,64.34694444444445,36,36,2.3435272698432503e-10,TRUE,-1.3632384026733773
number_of_missing_teeth,S vs G,Mann-Whitney U,0.44950322896771494,0.054991084311221405,0.3888888888888889,0.4444444444444444,36,36,0.44950322896771494,FALSE,-0.19264507794239571
number_of_missing_teeth,S vs P,Mann-Whitney U,5.328102748973564e-5,0.6926212888709403,0.3888888888888889,1.1111111111111112,36,36,7.992154123460346e-5,TRUE,-1.5145731728297582
number_of_missing_teeth,G vs P,Mann-Whitney U,4.6545293359287005e-4,0.6645602896268299,0.4444444444444444,1.1111111111111112,36,36,5.296533382263694e-4,TRUE,-1.3219280948873624
